127.0.0.1 - - [21/Aug/2019:15:14:08 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:14:09 +0530] "GET /AKIA/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:16:26 +0530] "GET /AKIA/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:16:26 +0530] "GET /AKIA/AKIA_icon.jpeg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:16:52 +0530] "GET /AKIA/web/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:16:52 +0530] "GET /AKIA/web/AKIA_icon.jpeg HTTP/1.1" 200 27458
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:03 +0530] "GET /AKIA/web/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:03 +0530] "GET /AKIA/web/AKIA_icon.jpeg HTTP/1.1" 200 27458
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:06 +0530] "GET /AKIA/web/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:15 +0530] "GET /AKIA/web/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:18 +0530] "GET /AKIA/web/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:19 +0530] "GET /AKIA/web/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:20 +0530] "GET /AKIA/web/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:21 +0530] "GET /AKIA/web/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:38 +0530] "GET /AKIA/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:58 +0530] "GET /AKIA/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:17:58 +0530] "GET /AKIA/AKIA_icon.jpeg HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:18:41 +0530] "GET /AKIA/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:18:41 +0530] "GET /AKIA/AKIA_icon.jpeg HTTP/1.1" 200 27458
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:19:13 +0530] "GET /AKIA/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:19:23 +0530] "GET /AKIA/ HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:19:23 +0530] "GET /AKIA/AKIA_icon.jpeg HTTP/1.1" 200 27458
0:0:0:0:0:0:0:1 - - [21/Aug/2019:15:19:25 +0530] "GET /AKIA/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:06 +0530] "GET /AKIA/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:06 +0530] "GET /AKIA/AKIA_icon.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:13 +0530] "GET /AKIA/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:17 +0530] "GET /AKIA/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:21 +0530] "GET /AKIA/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:23 +0530] "GET /AKIA/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:24 +0530] "GET /AKIA/LoginPage.jsp HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:25 +0530] "GET /AKIA/SignupPage.jsp HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [21/Aug/2019:16:42:26 +0530] "GET /AKIA/LoginPage.jsp HTTP/1.1" 200 1026
